step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.9286357139470054,2,0.0,0.29525881570042295,2,0.0
10.0,2,1.0,0.1111111111111111,4.3995995770224825,2,1.0,0.23353493278880616,2,1.0
15.0,0,0.0,0.0,3.1009132695704182,0,2.0,0.2167979732828575,0,2.0
20.0,6,15.0,1.0714285714285714,3.2774140664485674,5,11.0,0.11504272985772088,5,11.0
25.0,4,4.0,0.23529411764705882,3.8314133842735583,3,18.0,0.20060837410882057,3,18.0
30.0,11,37.0,1.9473684210526316,2.7546701285242476,10,42.0,0.12920949663909742,10,42.0
35.0,5,9.0,0.45,2.29416803040571,4,49.0,0.12006249094333483,4,49.0
40.0,13,35.0,1.6666666666666667,1.5881653178603297,12,67.0,0.08180228503297265,12,67.0
45.0,7,25.0,1.0869565217391304,1.7914094347304037,7,95.0,0.06339119477412818,7,95.0
50.0,13,42.0,1.75,1.6594816915244968,12,114.0,0.054085583963607034,12,114.0
55.0,7,25.0,1.0416666666666667,1.8937914875544184,7,125.0,0.0664255972123367,7,125.0
60.0,7,28.0,1.2173913043478262,2.892785428477183,7,107.0,0.08983159758829239,7,107.0
65.0,9,26.0,1.1304347826086956,1.654334991538194,9,115.0,0.05137580088522529,9,115.0
70.0,12,44.0,2.0952380952380953,0.7647090282386128,11,133.0,0.04665177797282163,11,133.0
75.0,7,32.0,1.5238095238095237,1.6885235147444537,7,141.0,0.06663229019700197,7,141.0
80.0,7,34.0,1.619047619047619,2.396296689086726,6,137.0,0.0895188020853545,6,137.0
85.0,6,20.0,0.9090909090909091,1.5616507409434812,6,129.0,0.05721739554269085,6,129.0
90.0,9,34.0,1.4782608695652173,3.145659471608408,9,118.0,0.09980335648855612,9,118.0
95.0,4,18.0,0.8571428571428571,2.4683801003256614,4,122.0,0.10302345431335055,4,122.0
100.0,7,24.0,1.0909090909090908,1.8574829416122107,7,118.0,0.09541737883353116,7,118.0
105.0,7,19.0,0.8260869565217391,1.0270582610593488,7,130.0,0.04491934351252068,7,130.0
110.0,12,33.0,1.434782608695652,0.8417001981926628,11,146.0,0.040289089889160475,11,146.0
115.0,5,18.0,0.782608695652174,2.175288716131073,5,146.0,0.09388638844314236,5,146.0
120.0,7,27.0,1.125,1.8489839112675295,6,143.0,0.053481767867271345,6,143.0
125.0,6,22.0,0.9565217391304348,1.2067436039525452,6,144.0,0.05640125911003739,6,144.0
130.0,13,36.0,1.5,1.5163204142433642,12,163.0,0.055314431992393664,12,163.0
135.0,6,21.0,0.875,2.102150084577345,6,174.0,0.06604065058815729,6,174.0
140.0,9,33.0,1.5,2.2725456640711816,9,168.0,0.0933286236039916,9,168.0
145.0,10,35.0,1.4,1.7030685060521755,9,170.0,0.04736353048817498,9,170.0
